#Classification	flua_count	flua_perc
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales|f__Orthomyxoviridae|g__Alphainfluenzavirus|s__Alphainfluenzavirus_influenzae|x__Influenza_A_virus|x__H3N2_subtype|x__Influenza_A_virus_(A/New_York/392/2004(H3N2))	73232	71.21
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales|f__Orthomyxoviridae|g__Alphainfluenzavirus|s__Alphainfluenzavirus_influenzae|x__Influenza_A_virus|x__H2N2_subtype	1491	1.45
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales|f__Orthomyxoviridae|g__Alphainfluenzavirus|s__Alphainfluenzavirus_influenzae|x__Influenza_A_virus|x__H2N2_subtype|x__Influenza_A_virus_(A/Korea/426/1968(H2N2))	1491	1.45
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales|f__Orthomyxoviridae|g__Alphainfluenzavirus|s__Alphainfluenzavirus_influenzae|x__Influenza_A_virus|x__H1N1_subtype	1298	1.26
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales|f__Orthomyxoviridae|g__Alphainfluenzavirus|s__Alphainfluenzavirus_influenzae|x__Influenza_A_virus|x__H1N1_subtype|x__Influenza_A_virus_(A/Puerto_Rico/8/1934(H1N1))	1014	0.99
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales|f__Orthomyxoviridae|g__Alphainfluenzavirus|s__Alphainfluenzavirus_influenzae|x__Influenza_A_virus|x__H1N1_subtype|x__Influenza_A_virus_(A/California/07/2009(H1N1))	284	0.28
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales|f__Orthomyxoviridae|g__Alphainfluenzavirus|s__Alphainfluenzavirus_influenzae|x__Influenza_A_virus|x__H5N1_subtype	745	0.72
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales|f__Orthomyxoviridae|g__Alphainfluenzavirus|s__Alphainfluenzavirus_influenzae|x__Influenza_A_virus|x__H5N1_subtype|x__Influenza_A_virus_(A/goose/Guangdong/1/1996(H5N1))	745	0.72
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales|f__Orthomyxoviridae|g__Alphainfluenzavirus|s__Alphainfluenzavirus_influenzae|x__Influenza_A_virus|x__H9N2_subtype	92	0.09
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales|f__Orthomyxoviridae|g__Alphainfluenzavirus|s__Alphainfluenzavirus_influenzae|x__Influenza_A_virus|x__H9N2_subtype|x__Influenza_A_virus_(A/Hong_Kong/1073/99(H9N2))	92	0.09
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales|f__Orthomyxoviridae|g__Alphainfluenzavirus|s__Alphainfluenzavirus_influenzae|x__Influenza_A_virus|x__H7N9_subtype	11	0.01
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales|f__Orthomyxoviridae|g__Alphainfluenzavirus|s__Alphainfluenzavirus_influenzae|x__Influenza_A_virus|x__H7N9_subtype|x__Influenza_A_virus_(A/Shanghai/02/2013(H7N9))	11	0.01
x__Viruses|x__Riboviria|k__Orthornavirae|p__Kitrinoviricota	1	0.0
x__Viruses|x__Riboviria|k__Orthornavirae|p__Kitrinoviricota|c__Alsuviricetes	1	0.0
x__Viruses|x__Riboviria|k__Orthornavirae|p__Kitrinoviricota|c__Alsuviricetes|o__Martellivirales	1	0.0
x__Viruses|x__Riboviria|k__Orthornavirae|p__Kitrinoviricota|c__Alsuviricetes|o__Martellivirales|f__Endornaviridae	1	0.0
x__Viruses|x__Riboviria|k__Orthornavirae|p__Kitrinoviricota|c__Alsuviricetes|o__Martellivirales|f__Endornaviridae|g__Betaendornavirus	1	0.0
x__Viruses|x__Riboviria|k__Orthornavirae|p__Kitrinoviricota|c__Alsuviricetes|o__Martellivirales|f__Endornaviridae|g__Betaendornavirus|s__Botrytis_cinerea_betaendornavirus_1	1	0.0
x__cellular_organisms	1895	1.84
x__cellular_organisms|x__Eukaryota	913	0.89
x__cellular_organisms|x__Eukaryota|x__Opisthokonta	913	0.89
