Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
flua_1	0.23610520848089908	5.061421083520531
flua_2	0.27590580076767923	4.5163553450846265
flub_1	0.1907158726725782	2.079196240734551
flub_2	0.1828513006036059	2.007432020605179
measle_1	0.17866420473871295	0.47431982387746185
measle_2	0.7752180790252612	0.5018471245586651
sample1_1	0.0	0.0
sample1_2	0.17962748024097716	0.0
sample2_1	0.0	0.0
sample2_2	0.0	0.0
