#Classification	flub_count	flub_perc
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata	61	0.06
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata	61	0.06
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata	61	0.06
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi	61	0.06
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi|x__Euteleostomi	61	0.06
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi|x__Euteleostomi|x__Sarcopterygii	61	0.06
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi|x__Euteleostomi|x__Sarcopterygii|x__Dipnotetrapodomorpha	61	0.06
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi|x__Euteleostomi|x__Sarcopterygii|x__Dipnotetrapodomorpha|x__Tetrapoda	61	0.06
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi|x__Euteleostomi|x__Sarcopterygii|x__Dipnotetrapodomorpha|x__Tetrapoda|x__Amniota	61	0.06
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi|x__Euteleostomi|x__Sarcopterygii|x__Dipnotetrapodomorpha|x__Tetrapoda|x__Amniota|c__Mammalia	61	0.06
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi|x__Euteleostomi|x__Sarcopterygii|x__Dipnotetrapodomorpha|x__Tetrapoda|x__Amniota|c__Mammalia|x__Theria	61	0.06
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi|x__Euteleostomi|x__Sarcopterygii|x__Dipnotetrapodomorpha|x__Tetrapoda|x__Amniota|c__Mammalia|x__Theria|x__Eutheria	61	0.06
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi|x__Euteleostomi|x__Sarcopterygii|x__Dipnotetrapodomorpha|x__Tetrapoda|x__Amniota|c__Mammalia|x__Theria|x__Eutheria|x__Boreoeutheria	61	0.06
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi|x__Euteleostomi|x__Sarcopterygii|x__Dipnotetrapodomorpha|x__Tetrapoda|x__Amniota|c__Mammalia|x__Theria|x__Eutheria|x__Boreoeutheria|x__Euarchontoglires	61	0.06
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi|x__Euteleostomi|x__Sarcopterygii|x__Dipnotetrapodomorpha|x__Tetrapoda|x__Amniota|c__Mammalia|x__Theria|x__Eutheria|x__Boreoeutheria|x__Euarchontoglires|o__Primates	61	0.06
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi|x__Euteleostomi|x__Sarcopterygii|x__Dipnotetrapodomorpha|x__Tetrapoda|x__Amniota|c__Mammalia|x__Theria|x__Eutheria|x__Boreoeutheria|x__Euarchontoglires|o__Primates|x__Haplorrhini	61	0.06
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi|x__Euteleostomi|x__Sarcopterygii|x__Dipnotetrapodomorpha|x__Tetrapoda|x__Amniota|c__Mammalia|x__Theria|x__Eutheria|x__Boreoeutheria|x__Euarchontoglires|o__Primates|x__Haplorrhini|x__Simiiformes	61	0.06
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi|x__Euteleostomi|x__Sarcopterygii|x__Dipnotetrapodomorpha|x__Tetrapoda|x__Amniota|c__Mammalia|x__Theria|x__Eutheria|x__Boreoeutheria|x__Euarchontoglires|o__Primates|x__Haplorrhini|x__Simiiformes|x__Catarrhini	61	0.06
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi|x__Euteleostomi|x__Sarcopterygii|x__Dipnotetrapodomorpha|x__Tetrapoda|x__Amniota|c__Mammalia|x__Theria|x__Eutheria|x__Boreoeutheria|x__Euarchontoglires|o__Primates|x__Haplorrhini|x__Simiiformes|x__Catarrhini|x__Hominoidea	61	0.06
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi|x__Euteleostomi|x__Sarcopterygii|x__Dipnotetrapodomorpha|x__Tetrapoda|x__Amniota|c__Mammalia|x__Theria|x__Eutheria|x__Boreoeutheria|x__Euarchontoglires|o__Primates|x__Haplorrhini|x__Simiiformes|x__Catarrhini|x__Hominoidea|f__Hominidae	61	0.06
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi|x__Euteleostomi|x__Sarcopterygii|x__Dipnotetrapodomorpha|x__Tetrapoda|x__Amniota|c__Mammalia|x__Theria|x__Eutheria|x__Boreoeutheria|x__Euarchontoglires|o__Primates|x__Haplorrhini|x__Simiiformes|x__Catarrhini|x__Hominoidea|f__Hominidae|x__Homininae	61	0.06
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi|x__Euteleostomi|x__Sarcopterygii|x__Dipnotetrapodomorpha|x__Tetrapoda|x__Amniota|c__Mammalia|x__Theria|x__Eutheria|x__Boreoeutheria|x__Euarchontoglires|o__Primates|x__Haplorrhini|x__Simiiformes|x__Catarrhini|x__Hominoidea|f__Hominidae|x__Homininae|g__Homo	61	0.06
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi|x__Euteleostomi|x__Sarcopterygii|x__Dipnotetrapodomorpha|x__Tetrapoda|x__Amniota|c__Mammalia|x__Theria|x__Eutheria|x__Boreoeutheria|x__Euarchontoglires|o__Primates|x__Haplorrhini|x__Simiiformes|x__Catarrhini|x__Hominoidea|f__Hominidae|x__Homininae|g__Homo|s__Homo_sapiens	61	0.06
