#Classification	sample1_count	sample1_perc
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M6|x__Streptococcus_pyogenes_MGAS10394	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M28	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M28|x__Streptococcus_pyogenes_MGAS6180	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_STAB1102	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_dysgalactiae_group	700	0.16
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_dysgalactiae_group|s__Streptococcus_dysgalactiae	675	0.16
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_dysgalactiae_group|s__Streptococcus_dysgalactiae|x__Streptococcus_dysgalactiae_subsp._equisimilis	177	0.04
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_dysgalactiae_group|s__Streptococcus_dysgalactiae|x__Streptococcus_dysgalactiae_subsp._equisimilis|x__Streptococcus_dysgalactiae_subsp._equisimilis_GGS_124	48	0.01
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_dysgalactiae_group|s__Streptococcus_dysgalactiae|x__Streptococcus_dysgalactiae_subsp._equisimilis|x__Streptococcus_dysgalactiae_subsp._equisimilis_RE378	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_dysgalactiae_group|s__Streptococcus_dysgalactiae|x__Streptococcus_dysgalactiae_subsp._dysgalactiae	7	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_dysgalactiae_group|s__Streptococcus_equi	24	0.01
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_dysgalactiae_group|s__Streptococcus_equi|x__Streptococcus_equi_subsp._zooepidemicus	6	0.0
