task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
36	81/dc6796	311000	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:KRAKEN2_KRAKEN2 (flub)	COMPLETED	0	2025-06-03 09:44:39.397	7.1s	6s	109.4%	15.1 GB	15.3 GB	15 GB	8 MB
41	f0/4df4da	313288	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:fastqc_dehost (flua)	COMPLETED	0	2025-06-03 09:44:42.750	4.8s	4s	221.9%	492.2 MB	5.1 GB	24.3 MB	3.6 MB
40	07/01dcea	313290	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:KRAKEN2_KRAKEN2 (flua)	COMPLETED	0	2025-06-03 09:44:42.759	7.8s	6s	111.8%	15.1 GB	15.3 GB	15 GB	12.6 MB
45	a0/d74b1f	315050	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:fastqc_dehost (sample1)	COMPLETED	0	2025-06-03 09:44:46.456	7.4s	6s	192.3%	1.1 GB	5.1 GB	75.1 MB	3.8 MB
44	d9/0229b7	315862	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:KRAKEN2_KRAKEN2 (sample1)	COMPLETED	0	2025-06-03 09:44:47.540	8.9s	7s	155.0%	15.1 GB	15.3 GB	15.2 GB	75 MB
54	04/695b42	319830	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:KRAKENTOOLS_GETTOPMATCHES (1)	COMPLETED	0	2025-06-03 09:44:56.467	1.3s	0ms	74.5%	4.9 MB	13.4 MB	955.5 KB	644 B
55	08/007dea	319851	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:KRAKENTOOLS_KREPORT2MPA (2)	COMPLETED	0	2025-06-03 09:44:56.479	2s	0ms	76.0%	9.9 MB	15 MB	2.9 MB	47.5 KB
56	35/86199d	319895	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:KRAKENTOOLS_KREPORT2MPA (3)	COMPLETED	0	2025-06-03 09:44:56.493	2.1s	0ms	84.5%	6.7 MB	13.7 MB	2.9 MB	74.1 KB
48	a8/6cf2cf	316962	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:fastqc_dehost (measle)	COMPLETED	0	2025-06-03 09:44:50.531	8.7s	7s	198.7%	762 MB	5.1 GB	86.8 MB	3.6 MB
57	03/77065b	320971	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:KRAKENTOOLS_KREPORT2MPA (4)	COMPLETED	0	2025-06-03 09:44:57.808	1.5s	0ms	85.7%	4.9 MB	13.4 MB	3 MB	182.6 KB
58	1f/98f0cd	321492	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:CSVTK_JOIN_MPA_COUNT_PERC (flub)	COMPLETED	0	2025-06-03 09:44:58.466	1.1s	0ms	65.3%	9.2 MB	1.2 GB	135.3 KB	12.5 KB
59	f6/214a0a	321725	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:CSVTK_JOIN_MPA_COUNT_PERC (flua)	COMPLETED	0	2025-06-03 09:44:58.660	994ms	0ms	53.8%	5.3 MB	1.2 GB	161.9 KB	19.3 KB
60	76/391424	322207	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:CSVTK_JOIN_MPA_COUNT_PERC (sample1)	COMPLETED	0	2025-06-03 09:44:59.317	494ms	0ms	63.7%	3.1 MB	26.5 MB	270.4 KB	46.9 KB
61	40/b3afe4	322628	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:KRAKENTOOLS_GETTOPMATCHES (2)	COMPLETED	0	2025-06-03 09:44:59.597	618ms	1s	63.0%	12.6 MB	17.5 MB	929.6 KB	638 B
53	65/db9669	319791	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:REPORT_STATS (measle)	COMPLETED	0	2025-06-03 09:44:56.455	3.8s	3s	103.7%	68.8 MB	1.6 GB	25.1 MB	1.1 KB
62	63/c7bd47	322722	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:KRAKENTOOLS_GETTOPMATCHES (3)	COMPLETED	0	2025-06-03 09:44:59.688	625ms	1s	82.6%	5 MB	13.4 MB	936.4 KB	635 B
63	e2/f818c0	322904	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:KRAKENTOOLS_GETTOPMATCHES (4)	COMPLETED	0	2025-06-03 09:44:59.840	555ms	0ms	80.0%	3.1 MB	5.4 MB	964 KB	648 B
64	4f/bf343f	323375	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:concat_stats_report (reads_illumina.qc_report)	COMPLETED	0	2025-06-03 09:45:00.325	467ms	0ms	89.4%	6.2 MB	1.2 GB	90.5 KB	1.3 KB
49	61/b099ff	318454	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:KRAKEN2_KRAKEN2 (measle)	COMPLETED	0	2025-06-03 09:44:53.818	8.9s	8s	149.3%	15.1 GB	15.3 GB	15.2 GB	65 MB
67	de/a6a065	324668	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:KRAKENTOOLS_COMBINEKREPORTS	COMPLETED	0	2025-06-03 09:45:02.802	635ms	0ms	87.3%	6.7 MB	13.7 MB	1.6 MB	188.1 KB
66	36/79ce1e	324663	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:KRAKENTOOLS_KREPORT2MPA (5)	COMPLETED	0	2025-06-03 09:45:02.790	1.1s	0ms	53.7%	3.1 MB	5.4 MB	3.7 MB	1.3 MB
65	35/80ce1e	323839	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:qcreport_to_json_for_datatable (reads_illumina.qc_report)	COMPLETED	0	2025-06-03 09:45:00.832	3.1s	2s	120.2%	72.7 MB	1.6 GB	25.1 MB	9.3 KB
68	21/fe1572	325355	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:CSVTK_JOIN_MPA_COUNT_PERC (measle)	COMPLETED	0	2025-06-03 09:45:03.870	469ms	0ms	74.3%	15.8 MB	1.2 GB	1.4 MB	348.8 KB
69	f1/5d2d83	325372	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:KRAKENTOOLS_COMBINEMPA_PERC	COMPLETED	0	2025-06-03 09:45:03.884	586ms	0ms	88.5%	12.6 MB	17.5 MB	1.9 MB	487.9 KB
70	5b/4e443f	325393	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:KRAKENTOOLS_COMBINEMPA_COUNT	COMPLETED	0	2025-06-03 09:45:03.893	620ms	0ms	84.7%	3 MB	5.4 MB	1.9 MB	483.5 KB
71	ad/a78a66	326087	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:KRAKENTOOLS_GETTOPMATCHES (5)	COMPLETED	0	2025-06-03 09:45:04.356	447ms	0ms	86.9%	4.8 MB	13.4 MB	1.2 MB	651 B
72	10/f8bc02	326276	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:CSVTK_JOIN_SUMMARY_REPORT (reads_illumina.kraken2_mpareport_count_perc)	COMPLETED	0	2025-06-03 09:45:04.534	389ms	0ms	83.2%	6.5 MB	1.2 GB	1.7 MB	444.8 KB
73	09/094682	326628	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:concat_topmatches (reads_illumina.topmatches)	COMPLETED	0	2025-06-03 09:45:04.828	419ms	0ms	82.4%	6.3 MB	1.2 GB	89.4 KB	1.2 KB
74	08/5e5c4b	326843	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:kraken2mpa_to_json_for_jstree (reads_illumina.kraken2_mpareport_count_perc)	COMPLETED	0	2025-06-03 09:45:04.941	1.2s	1s	94.8%	4.8 MB	13.2 MB	7 MB	2.3 MB
75	27/1d11e4	327305	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:topmatches_to_json_for_datatable (reads_illumina.topmatches)	COMPLETED	0	2025-06-03 09:45:05.266	2.9s	3s	131.2%	72.9 MB	1.6 GB	25.1 MB	5.3 KB
76	1b/73c98c	327643	XIAOLIDONG_SEQSWEEP:SEQSWEEP:MULTIQC	COMPLETED	0	2025-06-03 09:45:06.246	23.8s	23.3s	70.4%	671.2 MB	11.2 GB	111.7 MB	51.7 MB
